label,50,61,75,93,114,140,173,213,262,322,396,487,599,737,907,1116,1372,1688,2077
[Trail making] Interval between previous point and current one in numeric path (trail #1) (mean25),-0.05500337274151714,-0.0789480590119371,-0.10033941148408586,-0.08342245997297354,-0.10697725222096355,-0.1384461476478061,-0.2225531040495149,-0.3058583441288139,-0.33330415759072995,-0.3792332953765644,-0.4423841270179691,-0.5371455003731724,-0.5336509267716256,-0.5708839213214767,-0.5819704294044853,-0.5925903442531703,-0.6136935170584785,-0.6077529992328845,-0.6271177973269723
[Trail making] Interval between previous point and current one in alphanumeric path (trail #2) (mean25),-0.05822592329371364,-0.07769230985572746,-0.061569301375226905,-0.09493620972956845,-0.10363515483791125,-0.1268026073506312,-0.19706594941544814,-0.28645132942105067,-0.3323067360841774,-0.35094838339470036,-0.4048698068340199,-0.49902511638593333,-0.5244345213217199,-0.5511998273276265,-0.5552950200691485,-0.5692067020355265,-0.5881218917522508,-0.5867494131105451,-0.5922855132482183
[Trail making] Interval between previous point and current one in numeric path (trail #1) (std25),-0.025000722209771595,-0.05971345730894002,-0.10491837762277179,-0.054295663852801636,-0.09239682324166505,-0.1041539555272204,-0.19696125090447558,-0.26325186145560087,-0.27663410446150843,-0.323137174773678,-0.37383923719958795,-0.4516021175869674,-0.4485364035112774,-0.47637340689165675,-0.4848844324774821,-0.49159384003981577,-0.5131158215071286,-0.5070075453971064,-0.5284528095950755
[Reaction time] Duration to first press of snap-button in each round (mean12),-0.030117528566303405,-0.09363856847962422,-0.11287452127808191,-0.09559163414512314,-0.0924447494239496,-0.12983427093523325,-0.18448497274209938,-0.24383988545549443,-0.28092488086564427,-0.28178889871475726,-0.3576199358819959,-0.42176641101942036,-0.4352786873273727,-0.46322587838269924,-0.4650243593084522,-0.4775871495726745,-0.48830764294646367,-0.49028394521684204,-0.4998905069838624
[Trail making] Interval between previous point and current one in alphanumeric path (trail #2) (std25),-0.03205435066814826,-0.06069280023496589,-0.05571867549964424,-0.09809923164016271,-0.10366696649968278,-0.10801681909434224,-0.17181521690293672,-0.24691917100767355,-0.28332830147798316,-0.29874829412389603,-0.33209827110662127,-0.41275289721117525,-0.4433411015493519,-0.4648539152655911,-0.4596270535259012,-0.4729966256505251,-0.4912977784755072,-0.492083071255353,-0.49531711813753154
[Reaction time] Mean time to correctly identify matches,-0.01528599016957382,-0.09130268587944061,-0.12980425376641502,-0.07889378547992344,-0.06674728859429013,-0.12912928267364276,-0.18778403643475383,-0.23826384058631928,-0.2697893129425001,-0.2717246399823077,-0.34371554258119447,-0.40933500666944217,-0.42025155117340807,-0.448873810045392,-0.44892884626337654,-0.46573346823993583,-0.4738902400468064,-0.4805190335228993,-0.48861163923567114
[Numeric memory] Time last key touched (mean16),-0.07107526124378646,-0.04507720083761218,-0.02434432262025451,-0.03409524934978466,-0.07523187746325194,-0.06814202736894434,-0.13392546178720285,-0.16971143309587147,-0.19329094082236625,-0.222526338946462,-0.27670136975865633,-0.3523367547959891,-0.360161881586362,-0.37670557235581625,-0.39137795554763494,-0.4034966784073678,-0.4189199028140345,-0.41557269578952777,-0.4245116333978786
[Trail making] Duration to complete numeric path (trail #1),-0.05141062183275851,-0.054207973380423984,-0.07591687156157595,-0.03778743650873702,-0.017151144376684926,-0.06331011571024933,-0.08970178022262067,-0.18708042094679248,-0.24602858655701845,-0.2308800169066283,-0.2857687085967616,-0.35516160996832835,-0.3375472376508609,-0.3718008557314033,-0.37556279518948765,-0.3941681757253777,-0.40540109630230015,-0.3980303367219622,-0.420312853619912
[Numeric memory] Time last key touched (std16),-0.06755336781173672,-0.023087693530303263,-0.02868395544393771,-0.01803598805230637,-0.0719095131719199,-0.04936102901244272,-0.11622756158920344,-0.13833174298062953,-0.15740403889714055,-0.1793262230516558,-0.22334200205140614,-0.29384930831777994,-0.29752726998997414,-0.3153731417316288,-0.3204066306674016,-0.3310827944810378,-0.3422902154146996,-0.3398888593973685,-0.3478478410819578
