label,50,61,75,93,114,140,173,213,262,322,396,487,599,737,907,1116,1372,1688,2077
Weighted-mean MO in tract acoustic radiation (right),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean ISOVF in tract forceps minor,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean MO in tract superior longitudinal fasciculus (right),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean MO in tract parahippocampal part of cingulum (right),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean MD in tract forceps major,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean OD in tract cingulate gyrus part of cingulum (right),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean MD in tract acoustic radiation (right),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean MO in tract corticospinal tract (left),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean MO in tract superior longitudinal fasciculus (left),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean MO in tract middle cerebellar peduncle,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean MO in tract corticospinal tract (right),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean MO in tract parahippocampal part of cingulum (left),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean MD in tract acoustic radiation (left),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean OD in tract uncinate fasciculus (left),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean OD in tract medial lemniscus (left),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean MO in tract anterior thalamic radiation (right),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean ICVF in tract medial lemniscus (right),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean OD in tract medial lemniscus (right),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean MO in tract anterior thalamic radiation (left),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean FA in tract acoustic radiation (right),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean MO in tract medial lemniscus (right),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean OD in tract parahippocampal part of cingulum (left),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean OD in tract uncinate fasciculus (right),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean MO in tract acoustic radiation (left),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean ICVF in tract medial lemniscus (left),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean MO in tract medial lemniscus (left),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean ISOVF in tract forceps major,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean FA in tract medial lemniscus (right),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean FA in tract medial lemniscus (left),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
