label,50,61,75,93,114,140,173,213,262,322,396,487,599,737,907,1116,1372,1688,2077,2555,3142
Weighted-mean MD in tract anterior thalamic radiation (left),-0.14888802180482152,-0.18948399684253425,-0.18053858750086835,-0.19038210482568982,-0.18179534321325025,-0.21160061305328026,-0.22745354409670596,-0.2685915887235086,-0.29345953171768935,-0.36495239384906697,-0.38017301818363386,-0.45629853128529674,-0.49950100266037717,-0.5363437474352424,-0.5810845142213599,-0.6149628069124775,-0.6186569131774015,-0.6380701067166737,-0.649852176842597,-0.6573558943937141,-0.6554561186527841
Weighted-mean MD in tract anterior thalamic radiation (right),-0.1886080976261148,-0.19993384234939277,-0.19980661344188924,-0.19712048888351294,-0.18224930379892476,-0.21475463409008316,-0.23635503147272854,-0.267509154763235,-0.2945523783527376,-0.36136859401914223,-0.3805386728785725,-0.45691641426957325,-0.4942608686475203,-0.5321490559620841,-0.5759898578038907,-0.6115186558544284,-0.6128345583666164,-0.6310183630350215,-0.6430761464977549,-0.6504051002981039,-0.6493940106339977
Weighted-mean MD in tract superior thalamic radiation (left),-0.152234782011617,-0.15227233639530005,-0.1382507443116699,-0.1847841674666182,-0.14524710545917913,-0.19649143569272953,-0.2064293934364395,-0.24039199897917615,-0.24303065418056402,-0.3153566176037781,-0.33968019885219286,-0.413415507926713,-0.43832671724112215,-0.4821999316382675,-0.5159299701074703,-0.5414229547664704,-0.5449154498074493,-0.5574765813072569,-0.5680042727980358,-0.5812911391250293,-0.5800486703921516
Weighted-mean MD in tract superior thalamic radiation (right),-0.1232292226728946,-0.16020582803919747,-0.1366139825194089,-0.18678639632936153,-0.14850977769530213,-0.1900980050211708,-0.20049848326571432,-0.2298107097397705,-0.2449977683856776,-0.3048438772899603,-0.33309471984696315,-0.4091564195934996,-0.4265008148952694,-0.47318239775402793,-0.5052027862546478,-0.5267510947690811,-0.532690639363816,-0.5425691446648321,-0.5550983780343076,-0.568064948790526,-0.5682948434743783
Weighted-mean MD in tract superior longitudinal fasciculus (left),-0.1332546573080468,-0.18266350544891016,-0.13644495892576958,-0.16325984793342183,-0.13074134611111404,-0.17144383571100927,-0.19122730949767416,-0.19175228247752407,-0.23547817103798172,-0.30076445966735876,-0.2938859425602144,-0.3746329185028039,-0.3851614333683991,-0.4304595341405866,-0.46289263785625034,-0.4909360723787888,-0.4879613708393286,-0.5063816917216554,-0.5131178176468513,-0.5256503665567507,-0.5253731144249509
Weighted-mean MD in tract superior longitudinal fasciculus (right),-0.11541587173964718,-0.1739468709638126,-0.13666689645566016,-0.15466049218416125,-0.11813722617741025,-0.173778511005765,-0.19462123213009527,-0.18952789702015466,-0.23168722700762534,-0.292690722844916,-0.2919908038368819,-0.3671445351848015,-0.37886261675796556,-0.4246846898229636,-0.4557623651385325,-0.48415751525364764,-0.4821578526686651,-0.4980620277799257,-0.5069393570015236,-0.5197394238875512,-0.5195907665913336
Weighted-mean MD in tract posterior thalamic radiation (left),-0.08261253207756375,-0.131663782558592,-0.0893857627070674,-0.12786895266836226,-0.1009959294429387,-0.13277602405750322,-0.1607358461419276,-0.17493020047322183,-0.22421918443403974,-0.29372223676568276,-0.2921286143722801,-0.357626877564813,-0.3985877361002183,-0.4246309087744624,-0.4662203559920746,-0.477947480617658,-0.496671080208851,-0.5061946304253506,-0.5066822705927708,-0.5186982778399756,-0.5131255740727587
Weighted-mean MD in tract posterior thalamic radiation (right),-0.07999143304488024,-0.11630296615958167,-0.09875351796106094,-0.1380206889805572,-0.0903571151233513,-0.14172293969432823,-0.15118976676022772,-0.16259526769305105,-0.21488267040384706,-0.28036307104408675,-0.28622014683867064,-0.35028338040334794,-0.3854650165959437,-0.409845508334415,-0.4509036187448505,-0.46205580779893746,-0.4866004989747212,-0.48861576511581234,-0.4920283197071455,-0.5029226652377202,-0.49960763753440646
Weighted-mean MD in tract inferior fronto-occipital fasciculus (left),-0.10552291974545926,-0.17568231128466633,-0.14521078892065367,-0.16420076512739987,-0.12671013908967038,-0.1640433592363023,-0.1791262220420956,-0.1713718246175753,-0.2349200552114923,-0.30033968340594736,-0.28094302597861753,-0.352778716783206,-0.3729830556164145,-0.4106849546629197,-0.44339769362457754,-0.4692770930880503,-0.4712343240773286,-0.4900757139175927,-0.49368833547635194,-0.5015912709538013,-0.4981511713252839
Weighted-mean MD in tract inferior fronto-occipital fasciculus (right),-0.1280587531353887,-0.16371946264107115,-0.1286107911520996,-0.169104725068993,-0.1189827808036692,-0.16601902781519343,-0.18875495903911438,-0.1702643446061072,-0.23200805196022314,-0.2969530500113053,-0.28477179776541595,-0.34585110774040273,-0.3698589912456758,-0.4071420738981081,-0.4387278619642717,-0.4656325566068493,-0.4685727624240012,-0.48403079288436124,-0.4908390755192096,-0.49854077062607266,-0.49740166197030755
Weighted-mean MD in tract inferior longitudinal fasciculus (right),-0.12408851009874397,-0.15895373308092942,-0.13354756677768942,-0.16383184585548566,-0.11084915226264455,-0.15629380902653078,-0.17398659570383732,-0.1456579752715023,-0.21789690114705454,-0.2783009130698355,-0.25918972762579895,-0.32157871272479044,-0.3347631470178157,-0.3739812079167885,-0.40255623141250274,-0.42397006138340443,-0.4306308573293838,-0.4447270103816382,-0.45028322600410553,-0.4600599845640147,-0.4590025584967946
Weighted-mean MD in tract inferior longitudinal fasciculus (left),-0.10961411295694429,-0.15002445924783864,-0.12614303837449792,-0.15582672863578562,-0.10504426023332619,-0.15578303017115605,-0.16654265162666337,-0.14864317631479937,-0.22474368995173402,-0.28523523471448187,-0.25752833645013473,-0.3261074790721716,-0.33417553987507936,-0.3763010672549011,-0.40376615278231937,-0.423600552416958,-0.4286101724482637,-0.44440524561909617,-0.44736600779980307,-0.4561556967071843,-0.45361544140684046
Weighted-mean MD in tract forceps minor,-0.11082337203447906,-0.15011570468186602,-0.1268232995139319,-0.13119504192054796,-0.12240803905723656,-0.14383455228971614,-0.15395350578038627,-0.1673841577763526,-0.20266495385821062,-0.25485289002085226,-0.2557967313267989,-0.3273338883858593,-0.3384827400123219,-0.3828853805158051,-0.40384824472791686,-0.4275091400937434,-0.42304392328674534,-0.4402868855131919,-0.44625619077850187,-0.45254269513945594,-0.45235801156985084
Weighted-mean MD in tract uncinate fasciculus (right),-0.09551940931816877,-0.13531728931759127,-0.15918265231614126,-0.1304700345613138,-0.09289664579766578,-0.15516985431044197,-0.166565934329784,-0.14273197011434952,-0.21081407883006384,-0.24780198185167965,-0.2366757279532311,-0.2963923853117531,-0.30403346557494987,-0.3497468460406943,-0.35876494933311975,-0.3871199667502452,-0.38326651167640496,-0.39963265520767016,-0.4098896982943734,-0.411108779024877,-0.4144800232152312
Weighted-mean MO in tract superior thalamic radiation (right),-0.03306783377015781,0.009426565998207216,-0.04118476123961863,-0.07669685671142162,-0.05687373081794789,-0.06698502149997071,-0.11615305847184658,-0.11700390073330988,-0.13071210385593435,-0.2201108930585087,-0.21204962906751387,-0.26179648437078534,-0.3019957909930868,-0.3252425183152723,-0.34374713776537774,-0.3547542085476686,-0.37193366038585685,-0.37759998200404843,-0.38898850927999284,-0.39257776781570086,-0.40043575586050983
