subset,sample_size,cca_type,i_bootstrap_repetition,corr_learn,corr_val
all,50,repeated_cv,14,0.0075062264735139,-0.0883149326739805
all,50,repeated_cv,68,0.4623527478365279,0.1758166883650105
all,50,repeated_cv,13,0.3528149300482397,0.4290437671929279
all,50,repeated_cv,61,0.2207843890418312,0.2924395361238323
all,50,repeated_cv,66,0.0889299254439732,-0.2868334595797646
all,50,repeated_cv,82,0.2034190734868961,0.0899665968883193
all,50,repeated_cv,53,0.0742115107161209,-0.0141580241680678
all,50,repeated_cv,85,0.2469084320650598,-0.2791340598707599
all,50,repeated_cv,54,0.2656013848993239,-0.0820592564842102
all,50,repeated_cv,28,0.0810488202661314,0.0416110328654406
all,50,repeated_cv,26,0.1896556014894626,-0.0716818580619091
all,50,repeated_cv,21,0.3283744703265343,0.1826107807284378
all,50,repeated_cv,30,0.2657475744936504,0.5422263958589726
all,50,repeated_cv,37,0.1741615426679683,-0.0488038449412747
all,50,repeated_cv,45,0.3281272413646785,0.1041433043560742
all,50,repeated_cv,94,0.2351761293954193,-0.1940790672167807
all,50,repeated_cv,39,0.1312134390457395,-0.6007059105130932
all,50,repeated_cv,42,0.2963588378223409,0.2225241593163425
all,50,repeated_cv,93,0.3779465538448493,0.2039268539239563
all,50,repeated_cv,1,0.1195014906628424,-0.1229956753444719
all,50,repeated_cv,77,0.0688301262714676,0.3869132021449331
all,50,repeated_cv,70,0.0311342278897159,-0.0673294355209417
all,50,repeated_cv,6,0.177820935314125,0.4928802732982267
all,50,repeated_cv,8,0.1091718438213782,-0.1537720789910275
all,50,repeated_cv,79,0.23200596257598,-0.0143530719712385
all,50,repeated_cv,20,0.3673544290544535,0.1280446440100398
all,50,repeated_cv,27,0.0417444584757771,0.2212853127464273
all,50,repeated_cv,84,0.0953428682292074,-0.4712061792082307
all,50,repeated_cv,55,0.2083144628923354,0.1343055150391348
all,50,repeated_cv,29,0.0359265571856071,0.374098632008478
all,50,repeated_cv,83,0.0675678862229212,0.3934615070333797
all,50,repeated_cv,52,0.2427972332580348,0.2083613128951542
all,50,repeated_cv,67,0.7708468542762305,0.216884663355979
all,50,repeated_cv,60,0.2908506155285848,-0.0527917297143636
all,50,repeated_cv,12,0.1643696146791724,-0.0568810172144178
all,50,repeated_cv,15,0.0648308734632112,-0.3701595958829664
all,50,repeated_cv,69,0.1612230119901865,0.2065112740367486
all,50,repeated_cv,78,0.3311253825598859,0.440355532268025
all,50,repeated_cv,9,0.2380959555351274,0.4458296168853333
all,50,repeated_cv,71,0.0381054329822059,0.1284092771788187
all,50,repeated_cv,7,0.0476826075538747,-0.0262383085470957
all,50,repeated_cv,76,0.0099965431584547,0.0103490401161974
all,50,repeated_cv,43,0.0244211080601004,-0.1632171523043912
all,50,repeated_cv,92,0.3192749002622352,0.3505181831380408
all,50,repeated_cv,44,0.1746745735483065,0.0757366067554821
all,50,repeated_cv,95,0.5483829718084535,0.2465951343886347
all,50,repeated_cv,38,0.0369410531752267,0.1254682276966743
all,50,repeated_cv,36,0.2515664110560007,0.2785771476780563
all,50,repeated_cv,31,0.0232283641349293,0.2869173923694283
all,50,repeated_cv,3,0.0684815453436313,0.396903909059783
all,50,repeated_cv,75,0.1936225315282265,0.3384370384140969
all,50,repeated_cv,72,0.0186519485518023,-0.1789423691469323
all,50,repeated_cv,4,0.0635134504046575,0.1745813347875764
all,50,repeated_cv,47,0.1424764476795124,0.4141784418834014
all,50,repeated_cv,96,0.3093565588235007,0.2561060859647939
all,50,repeated_cv,100,0.2578697603722242,0.378937492372529
all,50,repeated_cv,40,0.3127872671299189,0.202036269467743
all,50,repeated_cv,91,0.2039611794187743,-0.0597946340795765
all,50,repeated_cv,32,0.1045952483846452,-0.1257370049087385
all,50,repeated_cv,49,0.0659491881388817,0.3826617140598686
all,50,repeated_cv,98,0.3280470838531368,0.1528754249910435
all,50,repeated_cv,35,0.2777697364690816,-0.0246670940468169
all,50,repeated_cv,89,0.0731318393022169,0.4612796963199816
all,50,repeated_cv,58,0.1719600243378878,-0.0616371002893662
all,50,repeated_cv,24,0.0461462596401447,0.2081813837992285
all,50,repeated_cv,23,0.1494922262695959,0.1157428309569406
all,50,repeated_cv,80,0.5131011726825503,0.0683282598067553
all,50,repeated_cv,51,0.0101532548625322,-0.1782411171161186
all,50,repeated_cv,87,0.1787061484325067,0.1810578595762552
all,50,repeated_cv,56,0.0318138252255719,0.2108085466103786
all,50,repeated_cv,63,0.121848093435583,-0.0478491823746831
all,50,repeated_cv,18,0.0910567013720049,0.0241267850262265
all,50,repeated_cv,64,0.3944950845074366,-0.0154875135159706
all,50,repeated_cv,16,0.3261383097020668,0.3246875096520095
all,50,repeated_cv,11,0.5819394744088546,0.1940820852975324
all,50,repeated_cv,48,0.2319695687641556,0.4402934522465294
all,50,repeated_cv,99,0.0127557124589836,0.1663343489369286
all,50,repeated_cv,34,0.0777104799493901,-0.0830781600201993
all,50,repeated_cv,33,0.4749418868540735,-0.1051230263498532
all,50,repeated_cv,41,0.0954318185882348,0.3761463169575161
