label,50,61,75,93,114,140,173,213,262,322,396,487,599,737,907,1116,1372,1688,2077,2555,3142,3865,4755,5848,7194,8849,10884,13388,16468,20257
[Trail making] Interval between previous point and current one in alphanumeric path (trail #2) (mean25),0.04711828452555212,0.003091512818613157,-0.046654243879319574,-0.08604594969211596,-0.12111345265455384,-0.1373739579270917,-0.19484787726373842,-0.26608627729466383,-0.35272091036357667,-0.3676466088943139,-0.4154904151760855,-0.49137021480575455,-0.5541163030052606,-0.5786262412855919,-0.6098990634561008,-0.606643899721448,-0.6245780643781196,-0.6282920643347893,-0.648342039754757,-0.6461627564208196,-0.6508610710840695,-0.6539929290231052,-0.6535609290755653,-0.6576102661559692,-0.6616137736214195,-0.6554917525032335,-0.6594836499174673,-0.6594432702344222,-0.6593690738318563,-0.6604555457312682
[Trail making] Interval between previous point and current one in numeric path (trail #1) (mean25),0.017840552261115424,-0.004008171931262591,-0.041198785406042306,-0.11155744609121743,-0.1265314518360908,-0.17812615676374619,-0.20770196398164018,-0.23591880211664953,-0.30760312968249737,-0.3792992801576584,-0.43249358931386866,-0.47812121339021885,-0.533581721150886,-0.5646477588441655,-0.5904944804634483,-0.5957186014022482,-0.609238193425237,-0.6229488749409426,-0.6168282666993194,-0.6255894075975668,-0.6374136776648371,-0.6349591311272867,-0.6360324780567586,-0.6392273679098511,-0.6421543759669781,-0.6390317435490815,-0.6459049860416058,-0.6445046574893393,-0.6435906667611948,-0.6449307968999259
[Reaction time] Mean time to correctly identify matches,-0.08892761879057247,-0.007536824062327532,-0.03976287095649681,-0.06320602769788518,-0.10147029227198959,-0.1795362914449189,-0.11835927165187615,-0.2187660398535074,-0.2741943535361348,-0.33152261586830567,-0.37689984469630117,-0.43784167060800555,-0.4958663850985544,-0.5256017841303884,-0.5349770806360524,-0.5699307266374365,-0.5556745006154373,-0.5824218302633384,-0.5941020078630066,-0.5849993250508622,-0.5887013944494671,-0.5952856659346337,-0.598778586164203,-0.6025171464823564,-0.6051048804113611,-0.6069733348410746,-0.6093125936228643,-0.6066889952567059,-0.6097554538645305,-0.6088481443117227
[Reaction time] Duration to first press of snap-button in each round (mean12),-0.08528735962951856,-0.00011002101637754863,-0.041174076024553134,-0.06603772051697046,-0.10100914281871623,-0.17520087624620717,-0.1150243259594607,-0.21658312515385297,-0.2722824239081764,-0.32931912908335703,-0.37342220104188983,-0.42834642165397524,-0.4966399668646823,-0.5255313521454662,-0.5340765167439767,-0.5674831253937702,-0.5542264629806376,-0.5752443974454603,-0.5935022317571331,-0.5853776613418762,-0.5882303449600614,-0.5920927298655709,-0.5950043339068957,-0.6010220936451153,-0.6026653901533519,-0.6048479851815626,-0.6081219174380256,-0.6049503522222082,-0.6078666724363164,-0.6072297468999182
[Trail making] Interval between previous point and current one in alphanumeric path (trail #2) (std25),0.04787674541997608,-0.013065031038624348,-0.05690401453745333,-0.055199007647052524,-0.09147395095060273,-0.11106702093383575,-0.14063457362283646,-0.24363552171508748,-0.30142535833905126,-0.2836086686966185,-0.32930384265045526,-0.396495861916754,-0.4467321311708295,-0.4577253622572083,-0.4903333892598816,-0.483778538901513,-0.49887652077431177,-0.5029914116271597,-0.5229961715007565,-0.5146746802247383,-0.5192101029877414,-0.5228295721068349,-0.5216556963705262,-0.5245623924352403,-0.5279526551857359,-0.5204480422801602,-0.525642561160779,-0.5250812215816478,-0.5247606386374013,-0.5256578724184326
[Trail making] Duration to complete numeric path (trail #1),0.020174386484674987,0.009768107042506743,-0.03697636175085603,-0.09447998136927524,-0.10719993887858736,-0.1378666973109415,-0.18189340878083413,-0.20238865965001657,-0.24197016964576767,-0.31378884837996657,-0.34907396526479245,-0.39830744762127757,-0.41746728268771977,-0.43949156381887833,-0.4725750403379286,-0.4741163251266843,-0.49099445682362963,-0.49523390821675034,-0.48578858922339363,-0.48858305096813104,-0.5057298864221538,-0.505531668848443,-0.5054379531156733,-0.500420485017391,-0.5074791712774026,-0.5049050293721268,-0.507368592204037,-0.5041538966737503,-0.5048535675407257,-0.5063172820831339
[Trail making] Interval between previous point and current one in numeric path (trail #1) (std25),0.017505742170580343,-0.003384940969321252,-0.045044441686155706,-0.06996349147515306,-0.09504053032797842,-0.12223215548605897,-0.1591422940379439,-0.16827571780061312,-0.23390257464258535,-0.2899014998772929,-0.3270857526260763,-0.35719374434054485,-0.39693171514082065,-0.4255195236612249,-0.44442187783808346,-0.44147966324063354,-0.4501932132473805,-0.4652460340047043,-0.45603029198990086,-0.4607294080946527,-0.47513461949073943,-0.47027767379299834,-0.4698440505356451,-0.4731969204935789,-0.4745299380902654,-0.47065746534772884,-0.4789458297668469,-0.4768434356616098,-0.4746508085598141,-0.4759940555059329
[Numeric memory] Time last key touched (mean16),0.009637510633572299,0.015849678864559666,-0.02997857019125502,-0.030223865924836897,-0.09561008779706075,-0.08797252990669946,-0.12313382522901875,-0.13381713024682956,-0.21837428125527822,-0.2144175447249158,-0.27491976811105906,-0.2715964384017195,-0.3411402956600609,-0.35580320968669626,-0.3621215484689804,-0.3789403960497775,-0.3838793861600191,-0.3905835747531824,-0.4039074509110304,-0.4031623544767573,-0.40141972240859386,-0.40435204939299185,-0.40787959315806527,-0.4042815805352282,-0.40071003748144657,-0.41077620976489043,-0.40532905672153563,-0.40907121044538447,-0.40698514660709484,-0.40765862016820525
[Reaction time] Duration to first press of snap-button in each round (std12),-0.007029206732062463,0.01939898645004674,-0.011251721417420903,-0.022347191180683776,-0.03726449447202947,-0.07646678502861999,-0.03061953274264634,-0.1135410478986679,-0.12278932481316979,-0.164825822744063,-0.17478398675920778,-0.21289669540336562,-0.2658974370271255,-0.27203069075907715,-0.2714616360343231,-0.2880392228760214,-0.2870715425415972,-0.28210218244611057,-0.3077514863787611,-0.30174271754994547,-0.30603166146069904,-0.29732230791025305,-0.29966608963867136,-0.3082598236206989,-0.30513090785376323,-0.3086439451962672,-0.31254909391384106,-0.3085486172836983,-0.3105881957651346,-0.3111451311742821
[Numeric memory] Time last key touched (std16),0.004555986812205287,0.004841104465659865,-0.0387194755695785,-0.007980482775848466,-0.08589426817282267,-0.054027126362804906,-0.09147833007147783,-0.10435785542800233,-0.1737113871594877,-0.15579491551904837,-0.20673735242217248,-0.19170577067805789,-0.254860431691555,-0.2708008834610915,-0.2699732103715211,-0.27514625508641855,-0.2791940433049039,-0.2867599033049586,-0.297123716036747,-0.293702294833174,-0.29105207853402587,-0.29481092763839906,-0.29657427907721257,-0.2906251442051758,-0.28873208286219865,-0.29741783772589137,-0.29145718938933923,-0.2955514652653497,-0.29222132940339934,-0.2932411787979428
[Pairs matching] Time to complete round (std3),-0.044964422852105015,-0.021556235452143933,0.007783197160215272,-0.02673014371493798,-0.048640304454603066,-0.08421247763954884,-0.05919085657390565,-0.09319157206705908,-0.12899403885096283,-0.13020855371707518,-0.1658359582129642,-0.2172376786956033,-0.2132320419292048,-0.2228081184459723,-0.23800253856689668,-0.24975214203183208,-0.2644732070163826,-0.2529594168840233,-0.24377017243336796,-0.24856465499822789,-0.2711028118927462,-0.2628139534747538,-0.26762968476314497,-0.2654274226689058,-0.26378277210334855,-0.2649384484627303,-0.26393868922418057,-0.26620505443332054,-0.2651786969159086,-0.2668896467795716
[Matrix pattern completion] Duration spent answering each puzzle (mean15),0.038282641090781805,0.02327873283517991,-0.024618864070747835,-0.03861202802939072,-0.050849016133171616,-0.03980953915879425,-0.07363811076204628,-0.09056376603516117,-0.08255593271327895,-0.16267947112414904,-0.15095657003360913,-0.17387528802759167,-0.1886098291335761,-0.20296122947265519,-0.22161706454822355,-0.24305805395890523,-0.251580802887405,-0.2282882002138922,-0.23887921915743823,-0.2561362010176927,-0.25057656377841964,-0.25253903152050877,-0.24766990255316843,-0.2511951854451171,-0.2500098723047829,-0.25961144420265503,-0.2522652381239644,-0.2552572791542415,-0.25682934680833225,-0.2567004232088293
