label,50,61,75,93,114,140,173,213,262,322,396,487,599,737,907,1116,1372,1688,2077,2555,3142,3865
[Trail making] Interval between previous point and current one in alphanumeric path (trail #2) (mean25),0.03462385627956819,0.009755192138883154,-0.05382783228010461,-0.08802425518484006,-0.0710338978382432,-0.2016170614479206,-0.2054162668907817,-0.24868649173436116,-0.27403798038043453,-0.368014922925406,-0.4331595644731302,-0.5094574448862845,-0.5348316656114291,-0.5673242351811659,-0.6077660061783289,-0.6118591843749637,-0.6300063704276744,-0.6292230332737835,-0.6312031152536416,-0.6400120243403591,-0.6418506955155313,-0.6451111568367568
[Trail making] Interval between previous point and current one in numeric path (trail #1) (mean25),0.023622713125195465,0.006564879954440852,-0.06397465736759071,-0.10917551588697368,-0.10280116756002755,-0.1967763264481064,-0.17873934384696544,-0.2319196667864189,-0.2510449415782027,-0.3523131843867426,-0.4044649513457435,-0.4858062538052082,-0.507256252258696,-0.5616148819837397,-0.5618091747056843,-0.5985327110686296,-0.5897767372165249,-0.5956472991467049,-0.6049237402270063,-0.6100827106721677,-0.6098465216358728,-0.6146078766214181
[Reaction time] Mean time to correctly identify matches,0.03316284554704192,0.02639165924263503,-0.09388259276136468,-0.09208826046080709,-0.07759403082663463,-0.12959348592311,-0.1727652628557324,-0.1947945478834816,-0.24014912782863715,-0.3363326872675609,-0.3445495742721621,-0.4211810999545852,-0.4630890440743227,-0.4708879267880724,-0.509290301462809,-0.5244004085461499,-0.5227854131950608,-0.5343438059867578,-0.5434978682629732,-0.5501175192382771,-0.5520208635866587,-0.5580121912983507
[Reaction time] Duration to first press of snap-button in each round (mean12),0.025029355185064814,0.02451898340084188,-0.0944123945035347,-0.10193863840006248,-0.0770100044634723,-0.12360910789090013,-0.17321237505543036,-0.19359556776169012,-0.24139617653189802,-0.3345763238873699,-0.3416950117071258,-0.4123134351847431,-0.46081987144132314,-0.46958726888231167,-0.5070555003183285,-0.5218589185837937,-0.5198285570042023,-0.5332283603128162,-0.5404384977045978,-0.5484797870028042,-0.5491789045004329,-0.5550193006920912
[Trail making] Interval between previous point and current one in alphanumeric path (trail #2) (std25),0.022212607185781674,0.016143410656516435,-0.038041272351599556,-0.07738237383030062,-0.07647860536395536,-0.15909494804225247,-0.17776523256912602,-0.19276784645690323,-0.23172549841836187,-0.31626261381103526,-0.36802319337137385,-0.44418416635300007,-0.4531490563323116,-0.4846086878610996,-0.5259429158904803,-0.5215316160611541,-0.5382232908254769,-0.5420416047744272,-0.5395367413565737,-0.549799099845258,-0.5499843096786317,-0.5532564547230243
[Trail making] Interval between previous point and current one in numeric path (trail #1) (std25),0.017766593665345096,-0.0006403538204632458,-0.05273811563874702,-0.07067078598577609,-0.07270156812234801,-0.1396651502673731,-0.12334800056284288,-0.18184564649155197,-0.1874030459290773,-0.2669517145736057,-0.31900896092801917,-0.3783184385074175,-0.3917465776954653,-0.45053977312199556,-0.4383975832394711,-0.4742485251785382,-0.4608132838349502,-0.4686285231498492,-0.47411210705386625,-0.4810816981356746,-0.47807783581542496,-0.4836093025261859
[Trail making] Duration to complete numeric path (trail #1),0.03044346455576579,0.013780479818226532,-0.044223912213311393,-0.09162563272550152,-0.038323335145750065,-0.16285708202127508,-0.11948380093947951,-0.1252999357502513,-0.1702604583964725,-0.24281564149313695,-0.29063883136233115,-0.3586761613569095,-0.35181877139301876,-0.4022896013056766,-0.39489284363952026,-0.43416263711097614,-0.4243734289195554,-0.4232216195209887,-0.4353488640015387,-0.4318830999889207,-0.43472737699703884,-0.4363932695876751
[Numeric memory] Time last key touched (mean16),0.039776087620106,-0.0064682032427446036,-0.017431420865339525,-0.09652400176149209,-0.0497368628139185,-0.09720698673738265,-0.14373048593904422,-0.16249831272294366,-0.10966776438285804,-0.23058795341995222,-0.24827533862571127,-0.3047331110255692,-0.32590384843578124,-0.3566338956485543,-0.33989556189469977,-0.3632245891495258,-0.3826189330719035,-0.3950870665046952,-0.4126671661771508,-0.4020041226053187,-0.4118939932344422,-0.4140898250328665
[Trail making] Total errors traversing alphanumeric path (trail #2),0.01730422890717529,0.008678554193283032,0.010761617304105837,-0.07399878205373064,-0.027020996213223656,-0.08833511081040549,-0.07717256599250374,-0.08503177847440795,-0.12721630842247728,-0.1528366857374472,-0.1934711501980665,-0.2477176092510662,-0.2443221030701528,-0.26692861654641187,-0.3046686684471809,-0.2875224439328184,-0.307584355424,-0.3153188957661371,-0.315140873535649,-0.3237128383643996,-0.3233602070671071,-0.3273742832704115
