label,50,61,75,93,114,140,173,213,262,322,396,487,599,737,907,1116,1372,1688,2077,2555,3142,3865,4755,5848,7194,8849,10884,13388,16468,20257
[Trail making] Interval between previous point and current one in alphanumeric path (trail #2) (mean25),-0.05296583219453846,-0.0621137120963837,-0.058777832552588644,-0.09674758037687098,-0.13054542889268583,-0.10843935281891319,-0.15736924537480818,-0.24796876519666808,-0.3527841504785469,-0.346319147767845,-0.40804990210723213,-0.4818028036959043,-0.544109401649931,-0.5739849340826959,-0.604350470525961,-0.6027937438750816,-0.6203143595789853,-0.6252049152284175,-0.6457891689043351,-0.6437087278879833,-0.6492735024607076,-0.6527737771402115,-0.6527568122859829,-0.6570592286433912,-0.6610372407213597,-0.6551090074436263,-0.6590724542632271,-0.6592038822596389,-0.6592989381764675,-0.6602998101999905
[Trail making] Interval between previous point and current one in numeric path (trail #1) (mean25),-0.05018802148509205,-0.07591099955498827,-0.03421068974256641,-0.09478331805246273,-0.12107516971384819,-0.1555154603555038,-0.17501650159549803,-0.2201909528699696,-0.30160194593852047,-0.35519010440851284,-0.4208058384027346,-0.4661784024310693,-0.5238712537290008,-0.5597666116492882,-0.5852249913414721,-0.5923664438725549,-0.6058070928812817,-0.6206440056650302,-0.6155119776628852,-0.6235253453691447,-0.6366863457373859,-0.6337621659928835,-0.6355424110496867,-0.6387149141678359,-0.6420275432093042,-0.6388910593788286,-0.6456518719451654,-0.6442586149876612,-0.6434802452462048,-0.6447934877406144
[Reaction time] Mean time to correctly identify matches,-0.09737706391302471,-0.07535618280903048,-0.06514569487854173,-0.1275419831007002,-0.09872705297216532,-0.14227128748101114,-0.13755081631160546,-0.2184925723744,-0.2713565137925427,-0.31029441082952647,-0.36838882686387564,-0.42170635273769447,-0.48771562331219137,-0.5212337336229687,-0.5313515265992907,-0.5659897927361786,-0.5524540759818496,-0.5797161942064727,-0.5910601921451163,-0.5840136250812517,-0.5875329193519696,-0.5938774405748158,-0.5974479026651609,-0.6018100393972909,-0.6046413375958445,-0.6067624606512136,-0.6089450565018615,-0.606412857430667,-0.6095165389033729,-0.608611125207983
[Reaction time] Duration to first press of snap-button in each round (mean12),-0.09242559516507264,-0.08325105221077748,-0.05808969719333985,-0.11238994959743165,-0.085545607446628,-0.13781023038068313,-0.13413409438696056,-0.21389835463221085,-0.2691441372481886,-0.308433684132484,-0.36304169146629023,-0.41347027839934064,-0.4876449664839592,-0.5206135111431263,-0.529691060854979,-0.5638113408140516,-0.5510799361497479,-0.572750594319338,-0.5905008287689111,-0.5843859429828216,-0.5870456163513278,-0.5907796246041798,-0.5939093551714874,-0.6003776052573526,-0.6022500524926888,-0.6047246273220931,-0.6078461941279378,-0.6047176913888505,-0.6076627100073277,-0.6070233441018746
[Trail making] Interval between previous point and current one in alphanumeric path (trail #2) (std25),-0.060637319839265354,-0.016969930363448175,-0.03658339032074855,-0.04128915603625453,-0.09891602350458693,-0.08454777495568087,-0.10949169956029314,-0.22754287055092498,-0.2987432898056481,-0.26405111232485906,-0.3249420417369211,-0.3894496710744661,-0.43781216981540966,-0.4538407213019346,-0.48482875571129874,-0.47905378711823965,-0.49452688895250607,-0.4997191439736957,-0.5202190946188037,-0.5122624707161271,-0.5176183729732036,-0.5215902777913491,-0.520745811973864,-0.5240681432527943,-0.5273288089411949,-0.5201497739975761,-0.5252332387435047,-0.5248878847650205,-0.5246817319965212,-0.5254933987840519
[Trail making] Duration to complete numeric path (trail #1),-0.05172114381798013,-0.04977306161390014,-0.03598200820029665,-0.08096031484884784,-0.09923234567877279,-0.10178951459672639,-0.1484860564229419,-0.18749277141759776,-0.22853539375187548,-0.2896707032678836,-0.3357889017343753,-0.38417521395992327,-0.4075007140710836,-0.43482479260865864,-0.4669830911019614,-0.47017694607137545,-0.48711283156557633,-0.4925834694605933,-0.48366079197106915,-0.48624725177480876,-0.5048392205986434,-0.5040990758454574,-0.5047404615419492,-0.49975763927815026,-0.5070816505640829,-0.5045200488356592,-0.507013006203369,-0.5038776020105584,-0.5046471300017531,-0.5061512547221871
[Trail making] Interval between previous point and current one in numeric path (trail #1) (std25),-0.03211666754123293,-0.06478443502677199,-0.008881375030836915,-0.04257746529952409,-0.09359226556683951,-0.11643090228952045,-0.1356913519856971,-0.16142907463592365,-0.22306781533612377,-0.2670977115755893,-0.317715478140546,-0.34725151492804535,-0.38892434197455145,-0.42076150127009365,-0.4393767026747157,-0.43857516774857336,-0.44688974696624706,-0.46272677562734515,-0.45447058417030545,-0.45850292715954455,-0.4742023118417809,-0.4686431783030374,-0.4690294346866741,-0.47249040719386526,-0.4741496609031649,-0.4704379412196607,-0.4785944738817785,-0.47651849181049627,-0.47446653412193207,-0.47584908582738933
[Numeric memory] Time last key touched (mean16),-0.02604094639610702,-0.0010827442065716225,-0.03426120547322143,-0.055107170553369576,-0.08642205991977635,-0.07398421746728048,-0.0749695394208672,-0.12040560429754298,-0.20069147984135274,-0.21318481935978212,-0.2666035355914714,-0.26393876779432474,-0.33683562083032337,-0.34864093421157577,-0.3613888934455407,-0.3770962500079408,-0.38389552361748414,-0.3883013086270954,-0.40209388140757746,-0.4029021105166573,-0.40099542236430474,-0.40335163127276835,-0.4074076814461318,-0.403753586293022,-0.40095223341500785,-0.41040706895435647,-0.40517502653631693,-0.4087911362533811,-0.4067791007261545,-0.40762725960693685
[Reaction time] Duration to first press of snap-button in each round (std12),-0.03351891444655192,-0.06633760347364975,-0.03268784818567757,-0.019805728625651327,-0.0029010576428675963,-0.056035238848041714,-0.06372808328320645,-0.10447670791715945,-0.11983042596708822,-0.15067428180975498,-0.1623179146181224,-0.20609372960251868,-0.25971438922922885,-0.26811787818130756,-0.2677871165514252,-0.286050486701191,-0.2854201819085356,-0.28119186277172764,-0.3060319291859407,-0.30133777360034375,-0.3052590696332156,-0.29645795885106213,-0.2994354010231026,-0.30799556074083384,-0.30493275112236384,-0.30878076152962275,-0.31249457908341954,-0.3084589427720903,-0.3105346472632952,-0.31100565125065494
