label,50,61,75,93,114,140,173,213,262,322,396,487,599,737,907,1116,1372,1688,2077,2555,3142,3865
[Trail making] Interval between previous point and current one in alphanumeric path (trail #2) (mean25),-0.032112583608246884,-0.03221657852024357,-0.07291837541807633,-0.10179018706270755,-0.11772579141281307,-0.20328325662741473,-0.19590314067160292,-0.23114069967848172,-0.26833772218510427,-0.3445224766327118,-0.4436675977887191,-0.4990284756691461,-0.5202800618117134,-0.5594525055169572,-0.6005330216715873,-0.6061585035932432,-0.6271597614963338,-0.625898052002419,-0.6291848733980718,-0.6386861011548789,-0.6407423742397458,-0.6436376711112324
[Trail making] Interval between previous point and current one in numeric path (trail #1) (mean25),-0.057906929242490766,-0.06454281741379665,-0.055001990831402926,-0.09412773349413363,-0.1267997246054487,-0.19484661829774463,-0.17277186030529706,-0.21419179935264862,-0.2562933644155946,-0.3313047767103898,-0.40535690250112877,-0.47038590803334496,-0.49576832029505985,-0.5537366659992514,-0.5535646462336603,-0.592625687908067,-0.5856510342235457,-0.5924410427985523,-0.602328443592706,-0.6079669548385933,-0.6084038929957298,-0.6130076333413387
[Reaction time] Mean time to correctly identify matches,-0.004016989383537112,-0.10432983658953031,-0.04480911895744481,-0.10506420498927743,-0.09507566318529494,-0.1309380636347822,-0.1735113815808967,-0.18491452485162208,-0.22426610201089517,-0.331607192099282,-0.3316158279478594,-0.4078733630439173,-0.4548516263971144,-0.46553481675002445,-0.5019038395837248,-0.5193830964641765,-0.5200147618150733,-0.5340672781708384,-0.5427525207410805,-0.5491100704724902,-0.5516970620951294,-0.5578812356272745
[Reaction time] Duration to first press of snap-button in each round (mean12),0.009569790250553245,-0.1340651076465398,-0.04671267110455366,-0.1250558297910153,-0.0992486305588651,-0.1324552713761887,-0.17712304872668175,-0.18377140196380304,-0.21959035084793058,-0.33213061655337517,-0.3283358377470549,-0.397645933636027,-0.4512248550885939,-0.4634134137073698,-0.49922590153747726,-0.5166710766643108,-0.516402386091144,-0.532413387710099,-0.5394543653450317,-0.546964502820878,-0.5486341741335468,-0.5545078531635829
[Trail making] Interval between previous point and current one in alphanumeric path (trail #2) (std25),-0.015069846241935341,-0.02550377509679756,-0.05926893380602425,-0.07759283611607218,-0.09576939996362137,-0.15780858519749075,-0.16336261559317397,-0.18383663994828858,-0.2283681655160598,-0.2964383591438546,-0.3805607343130121,-0.43754049526202643,-0.43829099292142687,-0.4767454646819803,-0.5201119922402335,-0.5165315412469028,-0.535564134392695,-0.5380307487219113,-0.5375196251764491,-0.548369527996329,-0.5485803480407383,-0.5517892847824433
[Trail making] Interval between previous point and current one in numeric path (trail #1) (std25),-0.06351106456070449,-0.035338024496667016,-0.030438208455939655,-0.04295435110167011,-0.10371734013154352,-0.15352284963434235,-0.11328249707593596,-0.1656731778740417,-0.20026416091263952,-0.24624625712157935,-0.3145127310553193,-0.36457503705217625,-0.38156662622666915,-0.4436580427501198,-0.4311823860814881,-0.469319691903068,-0.45703511445777606,-0.46552612901565377,-0.47167522073034646,-0.47897128754493257,-0.4765784993495285,-0.4822418402665125
[Trail making] Duration to complete numeric path (trail #1),-0.01535941840140507,-0.031162130371693103,-0.031765737477242914,-0.058890751145161624,-0.056758741592058994,-0.165313071096162,-0.11453608864796086,-0.12429438949034954,-0.18701090985438779,-0.22715637982359232,-0.29344854391603387,-0.34993742923133014,-0.33996322296674364,-0.3943259727328305,-0.3869506894298461,-0.4281091732949833,-0.41991830654742995,-0.4198287197433663,-0.4330224348965006,-0.4297899002811017,-0.4327900599615975,-0.43405111372163896
[Numeric memory] Time last key touched (mean16),-0.024981880611839632,-0.027628282355207184,-0.05413569880923449,-0.054925721705954805,-0.05490605291828345,-0.09348423927053502,-0.1494849666982038,-0.14024780002888698,-0.1002952672309404,-0.22351822633376184,-0.24935532625796278,-0.2950997365877055,-0.320981874138053,-0.35509976452628317,-0.3389215261574428,-0.3623062589967555,-0.38210845724476417,-0.3962954956801029,-0.41223581331561676,-0.4031939034050934,-0.4118079022717675,-0.4142062396476355
[Trail making] Total errors traversing alphanumeric path (trail #2),0.029606512344834777,0.007288407633896777,-0.055755526795737614,-0.061981982497329134,-0.04021103148577183,-0.06402619794587494,-0.06819660075615215,-0.08264907831440427,-0.1404480028528713,-0.14592070606502533,-0.19636337571493592,-0.24515138611665524,-0.2390859893819139,-0.2651090578544022,-0.3030861959921506,-0.2864301371446913,-0.30536271944672655,-0.31333138447336206,-0.3153559238693731,-0.3251628773742693,-0.3227301450421088,-0.32692841592943955
