subset,sample_size,cca_type,i_bootstrap_repetition,corr_learn,corr_val
all,50,repeated_cv,6,0.0676165101224161,-0.0922150594493269
all,50,repeated_cv,78,0.3012799815870833,-0.0746501903282024
all,50,repeated_cv,1,0.1860436455719539,-0.0844459240298824
all,50,repeated_cv,76,0.0793630757809112,-0.0408902863440048
all,50,repeated_cv,8,0.0161115797160464,0.0260916716729724
all,50,repeated_cv,71,0.3263235801198469,0.1322904504556368
all,50,repeated_cv,38,0.083790572417322,0.0884796173265261
all,50,repeated_cv,95,0.000282772982642,0.0123986409791982
all,50,repeated_cv,44,0.084884340255902,0.0527199396785238
all,50,repeated_cv,92,0.1906221822290339,0.1068648535387659
all,50,repeated_cv,43,0.0986319489068603,0.1288678271245779
all,50,repeated_cv,31,0.1793478490371334,-0.2743731987503526
all,50,repeated_cv,36,0.1115899884638733,0.0927060477821577
all,50,repeated_cv,27,0.2314494120282262,0.0410072341955567
all,50,repeated_cv,20,0.271471857363795,0.1296958668109588
all,50,repeated_cv,52,0.1904485822642279,-0.1568886018588475
all,50,repeated_cv,83,0.0373534151408201,-0.2482920922355102
all,50,repeated_cv,29,0.2520515162802226,0.0032944345660448
all,50,repeated_cv,55,0.219660968937388,0.1429203823519298
all,50,repeated_cv,84,0.0049965015148083,0.0638456501819191
all,50,repeated_cv,60,0.4269543825980588,-0.0097640962763614
all,50,repeated_cv,67,0.2200856237537209,0.0145749147966323
all,50,repeated_cv,69,0.1070441776000079,-0.3811971551888496
all,50,repeated_cv,15,0.1097330549262742,-0.042492457570745
all,50,repeated_cv,12,0.0538285045693527,-0.3043422225105194
all,50,repeated_cv,37,0.1319453750469023,0.1238300817319637
all,50,repeated_cv,30,0.1792617220176522,-0.4876631724742464
all,50,repeated_cv,93,0.2415540629879208,0.0026303166657027
all,50,repeated_cv,42,0.2749224440046254,0.0667627866158693
all,50,repeated_cv,39,0.1320616206304965,-0.1877920764817864
all,50,repeated_cv,94,0.2267592348401663,-0.1312925322273537
all,50,repeated_cv,45,0.1842727779346771,-0.107454603504933
all,50,repeated_cv,9,0.2014480155645857,-0.1070869751348981
all,50,repeated_cv,70,0.4997153275662715,-0.133366769880022
all,50,repeated_cv,77,0.2738675237832401,0.1342462955532841
all,50,repeated_cv,79,0.1866864591114539,-0.0230714194465946
all,50,repeated_cv,7,0.1171625129083744,-0.2816870815908139
all,50,repeated_cv,13,0.3896042915117461,-0.1212376707997853
all,50,repeated_cv,68,0.0941218637218324,0.3801405444040522
all,50,repeated_cv,14,0.1422914142339033,-0.3066917601258887
all,50,repeated_cv,66,0.1422291420108803,0.0895737816464132
all,50,repeated_cv,61,0.1407515784251528,0.0680241821444069
all,50,repeated_cv,28,0.0175156670331861,0.1501990925854819
all,50,repeated_cv,54,0.0738608419042248,-0.0033402435561606
all,50,repeated_cv,85,0.0148935825384625,-0.3670592022807284
all,50,repeated_cv,53,0.0367348556870126,-0.0485415989169175
all,50,repeated_cv,82,0.1690217016449136,0.0222926832545273
all,50,repeated_cv,21,0.0615313516613962,0.1355747338387096
all,50,repeated_cv,26,0.8292843404865367,0.2616451253333709
