subset,sample_size,cca_type,i_bootstrap_repetition,corr_learn,corr_val
all,50,repeated_cv,77,0.0653124650517524,-0.1829067940794384
all,50,repeated_cv,70,0.2082597385352816,0.0214150457993758
all,50,repeated_cv,79,0.0909514462538683,0.2644102410072995
all,50,repeated_cv,30,0.2969504230700623,-0.2101224524096536
all,50,repeated_cv,9,0.1003761756766512,-0.0739437805123589
all,50,repeated_cv,37,0.0010158480925954,-0.1896707437828627
all,50,repeated_cv,94,0.1976935097334271,0.0642187595791857
all,50,repeated_cv,45,0.1934627642475557,0.0035813590276216
all,50,repeated_cv,39,0.0298392083186156,-0.054419543037241
all,50,repeated_cv,7,0.4142307282127893,0.0878903328119422
all,50,repeated_cv,93,0.1501089421743193,0.0260774085166799
all,50,repeated_cv,42,0.0202061119294952,0.0637631397003838
all,50,repeated_cv,53,0.0407233527029351,0.025018887379471
all,50,repeated_cv,82,0.1112280854315039,0.0834639997064895
all,50,repeated_cv,54,0.0615333120807068,-0.099867841416358
all,50,repeated_cv,85,0.6391130812382744,0.1697432133580985
all,50,repeated_cv,28,0.0873028878463086,0.1737889677788155
all,50,repeated_cv,26,0.0292300369015787,0.0567392277675691
all,50,repeated_cv,21,0.0797922855309551,0.0605381741691952
all,50,repeated_cv,14,0.3283917728610496,-0.1480152099599889
all,50,repeated_cv,68,0.4178373356395766,0.002336747716809
all,50,repeated_cv,13,0.2118277776066144,0.0274546562297903
all,50,repeated_cv,61,0.2588966798413878,-0.0859625593539168
all,50,repeated_cv,66,0.282528521869686,0.1209517598224443
all,50,repeated_cv,6,0.0893205081683914,-0.0386906259365857
all,50,repeated_cv,92,0.1354172784326572,-0.004448453247432
all,50,repeated_cv,43,0.3730253995259793,-0.1598744924374354
all,50,repeated_cv,1,0.0637589967439373,0.0607306377880165
all,50,repeated_cv,95,0.0155791168752701,0.0460422741140917
all,50,repeated_cv,44,0.0833137192385926,0.0493002226702465
all,50,repeated_cv,38,0.0051675241026112,0.1519240803763522
all,50,repeated_cv,36,0.0774646790658275,-0.2138646496726033
all,50,repeated_cv,31,0.3222810406258107,0.0875602618589457
all,50,repeated_cv,8,0.0841713756224116,0.2126042952424598
all,50,repeated_cv,78,0.063428259591457,0.1877066597623866
all,50,repeated_cv,71,0.1427737992264333,-0.0964707025337996
all,50,repeated_cv,76,0.4364429780973913,0.0951405541886023
all,50,repeated_cv,67,0.3687900720891819,0.0145398695983709
all,50,repeated_cv,60,0.4394717177765481,0.4220671687962507
all,50,repeated_cv,12,0.0495620299215258,0.0939528607333488
all,50,repeated_cv,15,0.1427721598437941,-0.0054761833703805
all,50,repeated_cv,69,0.0982480270219836,0.1009944902282631
all,50,repeated_cv,20,0.0015376260902228,-0.1593384019103108
all,50,repeated_cv,27,0.1339297899367572,-0.0730454619955796
all,50,repeated_cv,55,0.1260591051818245,-0.0581812823470184
all,50,repeated_cv,84,0.1031132187854845,0.0190193921505975
all,50,repeated_cv,29,0.097218108036539,0.1038252949180286
all,50,repeated_cv,52,0.7517292570170033,0.0628971171048007
all,50,repeated_cv,83,0.049218191027083,-0.1543301832796164
all,50,repeated_cv,63,0.2263852110836401,-0.0943624139154553
all,50,repeated_cv,18,0.2214878759737073,-0.0382750716349347
all,50,repeated_cv,64,0.0510213063802953,0.1147095047532327
all,50,repeated_cv,16,0.2631551965174918,0.0678151403106137
all,50,repeated_cv,11,0.2067037662682324,-0.0038076572357768
all,50,repeated_cv,100,0.1295926900925381,-0.3265495033605545
all,50,repeated_cv,58,0.1490091121381527,0.0794365090223387
all,50,repeated_cv,89,0.1355214761373253,0.2220463960930456
all,50,repeated_cv,24,0.3036722680060444,0.1932521788138165
all,50,repeated_cv,23,0.0924790886742095,0.038543296566158
all,50,repeated_cv,51,0.1980159982621332,0.2421279840969985
all,50,repeated_cv,80,0.2672048603357915,0.0220173546720598
all,50,repeated_cv,56,0.0135609058302446,-0.4847430612901238
all,50,repeated_cv,87,0.2332212332808323,0.0442781867960371
all,50,repeated_cv,2,0.3392581551696862,-0.213723010602042
all,50,repeated_cv,96,0.0314359264048731,0.0724890320023732
all,50,repeated_cv,47,0.4254745358719907,-0.1042436066062431
all,50,repeated_cv,5,0.2644810425222299,0.0286111628708425
all,50,repeated_cv,91,0.3460436139947611,0.1767953197581153
all,50,repeated_cv,40,0.3208861736232293,0.2292647851463078
all,50,repeated_cv,32,0.1275719232899146,0.1499857150364589
all,50,repeated_cv,98,0.1593486498364505,0.1519125979037031
all,50,repeated_cv,49,0.1474301308463772,-0.3552915999341923
all,50,repeated_cv,35,0.0488555269061476,0.0178880902548448
all,50,repeated_cv,75,0.4445477594558237,0.0318560077581507
all,50,repeated_cv,72,0.2675993140366888,0.1848465234132561
all,50,repeated_cv,57,0.3992712194154528,-0.0162153854758693
all,50,repeated_cv,86,0.1380035061689704,0.0672950098037334
all,50,repeated_cv,50,0.0810223970355721,-0.5474867959698302
all,50,repeated_cv,81,0.0811189944689918,-0.198410841629109
all,50,repeated_cv,22,0.0977921935573601,-0.1274100225351488
all,50,repeated_cv,59,0.2461405620798535,-0.3823665922377466
all,50,repeated_cv,88,0.0634492467483005,0.3469261934851668
all,50,repeated_cv,25,0.2376465039483315,-0.0928290972674881
all,50,repeated_cv,10,0.2302175390919933,0.2739560358314599
all,50,repeated_cv,17,0.0963561218926998,-0.1635575403059386
all,50,repeated_cv,19,0.1168525056830511,0.188760505465211
all,50,repeated_cv,65,0.0262329008124254,-0.0961421942673417
all,50,repeated_cv,62,0.0845072252778235,-0.245187149541987
all,50,repeated_cv,73,0.3019866583616331,0.1085287939952857
all,50,repeated_cv,74,0.116612923192388,-0.085091326768486
all,50,repeated_cv,99,0.0135700473792731,-0.0707628305040044
all,50,repeated_cv,48,0.0265563092778179,0.1141568250075523
all,50,repeated_cv,34,0.2265388338545646,-0.203827960655255
all,50,repeated_cv,33,0.1538292284255106,0.136389171106263
all,50,repeated_cv,4,0.072758709458371,-0.0171702305170311
all,50,repeated_cv,90,0.0243400894485443,0.0776855946207735
all,50,repeated_cv,41,0.1087428956538361,0.2007956139745521
all,50,repeated_cv,3,0.0734046601135078,-0.2099363492718899
all,50,repeated_cv,97,0.1784848685186577,0.0492139605833228
all,50,repeated_cv,46,0.010342431221582,-0.1490065448673531
all,61,repeated_cv,62,0.0835792946843843,0.0925382461475572
all,61,repeated_cv,19,0.3199664099385224,0.0753651657435019
