subset,sample_size,cca_type,i_bootstrap_repetition,corr_learn,corr_val
all,50,repeated_cv,33,0.1298416156351238,0.1678758625762032
all,50,repeated_cv,99,0.1935127156434877,0.002596373375289
all,50,repeated_cv,48,0.0887197895113451,-0.1783633312522775
all,50,repeated_cv,34,0.0729500320759246,0.3091039505204991
all,50,repeated_cv,97,0.0592370844209321,0.2222289182471828
all,50,repeated_cv,46,0.0554485313025185,-0.1867792497562808
all,50,repeated_cv,90,0.1523932131949206,-0.1905245994604607
all,50,repeated_cv,41,0.1812716690000901,0.1989651327268355
all,50,repeated_cv,74,0.2252015373229328,-0.1737227201324792
all,50,repeated_cv,73,0.2764386118914836,-0.0503935961451667
all,50,repeated_cv,17,0.014544994688479,-0.053256069013638
all,50,repeated_cv,10,0.0005867914477404,-0.2312275935621837
all,50,repeated_cv,62,0.054109896923391,0.0102095037788901
all,50,repeated_cv,3,0.0261244718879554,0.026815652824077
all,50,repeated_cv,19,0.0706926065101917,0.2647805394259453
all,50,repeated_cv,4,0.0523416022203391,0.0495407408735242
all,50,repeated_cv,65,0.1449922073661438,-0.062853655527355
all,50,repeated_cv,50,0.0606856384632576,0.0862091993492073
all,50,repeated_cv,81,0.0783925936035569,-0.2148485636225536
all,50,repeated_cv,57,0.2532599879845318,-0.017907695131182
all,50,repeated_cv,86,0.104233485604932,0.0918273888995007
all,50,repeated_cv,59,0.2760002169706892,0.0355633954344465
all,50,repeated_cv,88,0.1063431681284889,-0.0890858884804485
all,50,repeated_cv,25,0.2440767055651298,0.4512483531589086
all,50,repeated_cv,22,0.1216081934263193,0.1092438610105872
all,50,repeated_cv,72,0.0052581379389566,0.2354730200722634
all,50,repeated_cv,75,0.3566517751299929,0.1887231179116646
all,50,repeated_cv,91,0.0616511864321123,0.0795682173279487
all,50,repeated_cv,40,0.0408539944584149,0.0915849788156234
all,50,repeated_cv,96,0.0879459513741851,-0.0781234568233915
all,50,repeated_cv,47,0.1667131364577241,-0.237346679248501
all,50,repeated_cv,98,0.1794591377188158,-0.1132484029314075
all,50,repeated_cv,49,0.2104558500810347,0.2638525710904491
all,50,repeated_cv,35,0.2116000980775414,0.156648005718454
all,50,repeated_cv,32,0.0633851675975369,0.5639389078743132
all,50,repeated_cv,23,0.0226453398266366,-0.0041938385587402
all,50,repeated_cv,58,0.4244238605975758,0.105111279735067
all,50,repeated_cv,89,0.3671036910178831,-0.0678198905675586
all,50,repeated_cv,24,0.139163475338137,0.1339956603938278
all,50,repeated_cv,56,0.0188638323557619,-0.315642163665538
all,50,repeated_cv,87,0.100613076502146,0.3857296352347505
all,50,repeated_cv,51,0.2990832768152243,-0.099781656015031
all,50,repeated_cv,80,0.1906691468326226,-0.1252518665925441
all,50,repeated_cv,18,0.1053935869757307,-0.0628987269149539
all,50,repeated_cv,5,0.1677396073838983,-0.0015898603298114
all,50,repeated_cv,64,0.0348007960294056,0.0387033300348299
all,50,repeated_cv,63,0.0902359108698795,0.3951363349240935
all,50,repeated_cv,2,0.01311336122702,0.1338228937783845
all,50,repeated_cv,11,0.0494904907209787,-0.0215989756231664
all,50,repeated_cv,16,0.0327919386204476,0.0066870475508602
all,50,repeated_cv,27,0.037397393343356,-0.0255784509666774
all,50,repeated_cv,20,0.1622104450571355,-0.2024531478963919
all,50,repeated_cv,52,0.7524913206640313,0.325353788380305
all,50,repeated_cv,83,0.1287122530867908,0.067029948840718
all,50,repeated_cv,55,0.0609285631057263,0.1693023453352979
all,50,repeated_cv,84,0.297992040700425,0.3385354242250648
all,50,repeated_cv,29,0.0182416224439597,-0.1485790925712222
all,50,repeated_cv,60,0.3747132081299891,0.2189625661413585
all,50,repeated_cv,1,0.0107131085680269,0.2087394514015295
all,50,repeated_cv,6,0.3131730684081257,0.0904719291438762
all,50,repeated_cv,67,0.2673230923473214,0.3222573488255221
all,50,repeated_cv,15,0.0357116739061227,-0.3016643857036856
all,50,repeated_cv,8,0.2398120371794898,-0.1309782562199055
all,50,repeated_cv,69,0.2766522237688851,0.2074290512667731
all,50,repeated_cv,12,0.0911861011360777,0.0267514845914198
all,50,repeated_cv,78,0.0004829709617617,0.183543646633763
all,50,repeated_cv,76,0.110948953385684,0.0578188692760971
all,50,repeated_cv,71,0.284721224269389,0.3029005152536861
all,50,repeated_cv,95,0.0682827094581826,-0.1200155174096451
all,50,repeated_cv,44,0.1503086321500137,0.1482267593068683
all,50,repeated_cv,38,0.2064238518701453,0.1159276950140197
all,50,repeated_cv,100,0.1035044025561808,-0.0316429939189596
all,50,repeated_cv,92,0.0395001334439435,-0.2010897872079775
all,50,repeated_cv,43,0.1162313503071554,0.0829067778148873
all,50,repeated_cv,31,0.23423211703281,0.271251932820146
all,50,repeated_cv,36,0.1818325508491467,0.0019864923422345
all,50,repeated_cv,13,0.2209931920579535,-0.2392494841569034
all,50,repeated_cv,14,0.5826016441150585,0.3073291288813269
all,50,repeated_cv,9,0.0514642985688567,-0.2504640569569429
all,50,repeated_cv,68,0.0961806208994772,-0.0691487222149276
all,50,repeated_cv,7,0.2164382192633928,-0.0711322366695506
all,50,repeated_cv,66,0.1662120325391121,0.0030598041391787
all,50,repeated_cv,61,0.0504961451886325,-0.1863735870877465
all,50,repeated_cv,54,0.0256069621211527,0.0482284525910263
all,50,repeated_cv,85,0.1651967922732415,0.0122146837974084
all,50,repeated_cv,28,0.2003619827622501,0.0415968253650476
all,50,repeated_cv,53,0.0103116626137281,-0.0964057833919422
all,50,repeated_cv,82,0.0028713952835741,-0.4474889522632548
all,50,repeated_cv,21,0.1867177262106527,-0.0409879750826585
all,50,repeated_cv,26,0.0970337635929179,-0.0793471569495136
all,50,repeated_cv,37,0.044199782902312,-0.2934394905191646
all,50,repeated_cv,30,0.0207115506248746,-0.5058863513745351
all,50,repeated_cv,93,0.091066104341501,-0.1755547915498108
all,50,repeated_cv,42,0.3039899191732749,-0.226209677345996
all,50,repeated_cv,94,0.0259685329928716,0.1701045963491183
all,50,repeated_cv,45,0.3383986119853219,-0.2034275467882131
all,50,repeated_cv,39,0.1089547654060754,0.1680621487243023
all,50,repeated_cv,70,0.0309855042983193,0.1626431355115802
all,50,repeated_cv,77,0.1080295618613922,-0.0769529443057381
all,50,repeated_cv,79,0.0866300090415358,-0.0110817642020935
all,61,repeated_cv,46,0.230241347123933,0.1558019836202884
all,61,repeated_cv,97,0.1271986920291102,0.1223872869063787
all,61,repeated_cv,41,0.2512212136873271,0.1438382755321914
all,61,repeated_cv,90,0.1445229554119051,0.0823714865012985
all,61,repeated_cv,33,0.2374395403562166,-0.0582095262390378
all,61,repeated_cv,34,0.0860183338392193,0.0172523457447901
all,61,repeated_cv,48,0.0555321672357833,-0.1055546808179088
all,61,repeated_cv,99,0.4294493316236609,0.1052676332696764
all,61,repeated_cv,2,0.2497182504434959,0.1313835875915525
all,61,repeated_cv,100,0.1986919466159182,0.2545250412602373
all,61,repeated_cv,5,0.0257225460399292,-0.1023572440798527
all,61,repeated_cv,74,0.1026144722989097,-0.0007702155712192
all,61,repeated_cv,73,0.016685225139235,-0.1029782284248195
all,61,repeated_cv,62,0.1345067984506758,-0.3169402339871996
all,61,repeated_cv,65,0.0177182277837069,-0.050416315877559
all,61,repeated_cv,19,0.2921702484389225,0.2804013853298396
all,61,repeated_cv,17,0.0322963989961891,0.0018846766728284
all,61,repeated_cv,10,0.2590587227825867,0.0253379863386145
all,61,repeated_cv,25,0.0757823020833028,0.0294916799257969
all,61,repeated_cv,88,0.0751509002585963,0.0461941527067787
all,61,repeated_cv,59,0.1609295162792405,0.0636839224509043
