label,50,61,75,93,114,140,173,213,262,322,396,487,599,737,907,1116,1372,1688,2077
[Trail making] Interval between previous point and current one in numeric path (trail #1) (mean25),-0.014438053278652064,-0.03190989304035075,-0.06985468925130559,-0.08393499121898386,-0.1241934009051165,-0.15539005363330965,-0.20860724115492077,-0.3044142287781923,-0.3365425887076285,-0.3932026159467371,-0.4499286256605526,-0.544138197797781,-0.5417590627964922,-0.5762207779918551,-0.5859331293919989,-0.5942647174466177,-0.6144963427117588,-0.610527936447427,-0.6305497831326382
[Trail making] Interval between previous point and current one in alphanumeric path (trail #2) (mean25),0.021017901838203668,-0.009177792858953258,-0.06596474869239012,-0.06986730333918391,-0.1505185699490809,-0.15654430460415492,-0.1974525433205518,-0.2956138784874498,-0.34354227970871903,-0.36483843440536873,-0.4125269889942072,-0.5048374632862087,-0.533465976050785,-0.5574040240954901,-0.5598899743129353,-0.5724883205165437,-0.5911215025214036,-0.5906066067868941,-0.5954842055735253
[Trail making] Interval between previous point and current one in numeric path (trail #1) (std25),-0.03580029120617993,-0.040637392595762434,-0.07406089720439883,-0.05136110494089505,-0.0989020126948694,-0.11915870871454734,-0.18077159188092826,-0.2655653360117226,-0.27839355640184266,-0.33433913815120936,-0.37861246828681516,-0.45760418643748396,-0.4553466456327072,-0.4793001251137403,-0.48823665382070586,-0.49243626907051735,-0.5134191089310166,-0.508290056214608,-0.5307226248377733
[Reaction time] Duration to first press of snap-button in each round (mean12),-0.024000616437227843,-0.019411321555761515,-0.03537875481671664,-0.10459553423110822,-0.15364043664262714,-0.14820006716782128,-0.19850893707435144,-0.26346533131374605,-0.2815190132367836,-0.2948550485228547,-0.3628020813758445,-0.42928440082144326,-0.44294114244763355,-0.46844853767500966,-0.46792326667823886,-0.48145891498043725,-0.49021052157346223,-0.49299013753578325,-0.5027199801860849
[Trail making] Interval between previous point and current one in alphanumeric path (trail #2) (std25),0.04125140496161278,-0.023108244008393116,-0.04597381082056238,-0.06592116135819903,-0.148003101462872,-0.13179381737200904,-0.17000057022319165,-0.25025381878716835,-0.29430242758139813,-0.3091988214908318,-0.33624441913928527,-0.4173830442103247,-0.45170031255512,-0.4696025193353352,-0.4635467308303464,-0.4760371917802961,-0.494305252314475,-0.4948928303239608,-0.4975253942437009
[Reaction time] Mean time to correctly identify matches,-0.031254053039443744,-0.031565852775054595,-0.03846819069737685,-0.09774454737713231,-0.14314577534273476,-0.15233628094677074,-0.19484509661620883,-0.25739618638171824,-0.2715351770421089,-0.28610905269303955,-0.34878818029839387,-0.4162166034660548,-0.42778885624287943,-0.4538870539871324,-0.4510416168684908,-0.4688136884347204,-0.4754222753893972,-0.482628021132989,-0.49082543162196407
[Numeric memory] Time last key touched (mean16),0.007153864076898338,-0.014613636024448684,-0.04649400955601452,-0.04544919027842289,-0.1130063421374064,-0.1016755016664633,-0.1474387262987309,-0.1697357643634002,-0.19226025612383046,-0.2287439062175939,-0.2776904546514253,-0.3565609917816373,-0.3594223816918815,-0.3820145607510175,-0.3948593163609067,-0.40675955344453496,-0.42269284426364073,-0.4190439307581513,-0.4285049180190425
[Trail making] Duration to complete numeric path (trail #1),-0.01480489944673092,-0.03327134199138168,-0.04805965234805116,-0.01697709166158994,-0.03832951420490554,-0.0712999832962756,-0.07030722992541506,-0.18307128242252602,-0.251922352595037,-0.23835838411377533,-0.2929241900258717,-0.3605394636272735,-0.34253698906625835,-0.3767400381975288,-0.3776408656838111,-0.39511025552547996,-0.4057763525921226,-0.4010650791568661,-0.42343768696006295
[Numeric memory] Time last key touched (std16),0.0070949711717579,-0.008475301699025545,-0.04908823120226949,-0.02964617861693142,-0.10572826714277396,-0.08469421963145862,-0.12830293556981182,-0.14129862547177904,-0.15557990657781154,-0.18819439893253623,-0.22350146969514786,-0.2972552107243817,-0.2967536993048875,-0.3215057828218768,-0.3255698393486708,-0.33495794785830646,-0.34710776538941823,-0.343537778710345,-0.35200616662256173
[Prospective memory] Number of attempts,0.006094115328923364,0.025778571082852884,-0.06437120617182883,-0.09850954976555276,-0.1257089102492277,-0.06710276109379612,-0.13771170014763995,-0.21424339464077166,-0.23633032519612018,-0.21295598130654597,-0.2364093617209012,-0.2587038247422725,-0.28430207664438883,-0.28013865035814256,-0.2894147338350252,-0.30995341018043465,-0.3044380391689425,-0.30264185250301073,-0.30551997644859064
[Reaction time] Duration to first press of snap-button in each round (std12),-0.007560473400608898,-0.00778191034011989,0.02265608991128136,-0.08070746933483322,-0.07499780886693766,-0.06280424417867402,-0.1023170815839898,-0.13000889922919479,-0.1597696165055569,-0.16999244819202164,-0.19242371109607725,-0.22789720502677283,-0.23624359317905422,-0.2533912559924819,-0.260472006291473,-0.2584645228898281,-0.2709179066725645,-0.2585265438602929,-0.2695649361122466
[Trail making] Total errors traversing alphanumeric path (trail #2),0.03361866999203269,-0.01624175060784511,-0.029160282964857356,-0.03216583991604219,-0.05715556246661968,-0.07601441721784076,-0.06794873796060188,-0.1354846617808034,-0.16237461953438304,-0.14595309242740767,-0.1686591359910558,-0.19956133670088036,-0.21884737753132286,-0.23173369955692613,-0.23127169178889548,-0.2412160617750844,-0.2547995428978046,-0.25602563650611243,-0.2644642075324581
[Matrix pattern completion] Duration spent answering each puzzle (mean15),0.03999722178216187,-0.0006583096572305984,-0.07116691613650622,-0.03136349784488706,-0.04810013889946215,-0.08378335909646958,-0.10332645351849643,-0.11016610253469543,-0.10556717407274409,-0.1608733180686499,-0.19059894183966397,-0.20657246304587407,-0.19719399279663516,-0.21553191117543155,-0.23156239287640787,-0.23635880508205986,-0.2247500400177558,-0.22631951341892595,-0.23732440570613098
[Trail making] Total errors traversing numeric path (trail #1),-0.008275210164906536,-0.020064724653069698,-0.04076409020112099,-0.018722096775958662,-0.024000529173319664,-0.04491023319326147,-0.08913176063812532,-0.12432534050760245,-0.11996422823007782,-0.1473337294254502,-0.17121505149339142,-0.19310009472267894,-0.18802136949015114,-0.1918479286140679,-0.19055651908734572,-0.1931449436181664,-0.19863129808817284,-0.19242010828246253,-0.21084841975096608
[Pairs matching] Time to complete round (mean3),-0.03105758770063981,-0.031300009951559016,-0.06337386527834894,-0.013930612937378713,-0.08357930132831211,-0.09331390997429623,-0.07400192149355116,-0.07851837218418925,-0.10423082138295549,-0.10176384015753785,-0.139498898650009,-0.15189164786934256,-0.1256567007515916,-0.14439821471614286,-0.1348179944986633,-0.15140991224198333,-0.15556521923138095,-0.15122791538636032,-0.15182902534838744
[Pairs matching] Time to complete round (std3),-0.034119615439499394,-0.011869259130480798,-0.04225163838403897,-0.034512382150184935,-0.050976553398970406,-0.05991755474615079,-0.08063070440151147,-0.07592906178835335,-0.09246399235482555,-0.10553852577402155,-0.14058370919565333,-0.13348408640859635,-0.11817917007507762,-0.1401884592205841,-0.13137552180172712,-0.14418884936761425,-0.16112990696286,-0.15511520038795484,-0.1513314267634158
[Numeric memory] Time to complete test,-0.005967483795648384,0.001632586904628322,-0.011478731629155591,-0.00959174397931859,-0.05365378614304826,-0.03452897158920015,-0.04248884112886195,-0.05128877393994937,-0.06679466621151553,-0.0705002156275361,-0.09220242154125936,-0.13049518084778255,-0.10838908583754847,-0.10978652409129204,-0.11324431186706706,-0.11262157104188426,-0.1302088289614013,-0.1284298625305832,-0.13497954061638956
[Pairs matching] Number of incorrect matches in round (mean3),-0.02974259435350826,-0.005454041779566518,-0.0567185200046137,-0.03616085219221587,-0.06886741300686786,-0.08225341632432338,-0.055557279089568985,-0.08334735759898526,-0.07664661521472355,-0.08153575678018835,-0.11111556964717918,-0.11505101089216005,-0.09773124192884058,-0.10974526535281727,-0.09973565376416066,-0.11538644916916885,-0.11904519152924214,-0.11364980045146365,-0.11303172583572843
[Matrix pattern completion] Duration spent answering each puzzle (std15),0.02920630363693145,0.01992377074374306,-0.0449950874682097,-0.0039034989228655427,-0.010139619450647884,-0.04728853311571629,-0.05854777448219759,-0.03041845266452755,-0.031437688682502005,-0.06930522564084343,-0.09272014376250894,-0.08452111954276839,-0.0809336460538461,-0.08940238395073932,-0.10325155719930099,-0.10902095706180495,-0.09459694173446037,-0.0940852948306235,-0.10527045370725752
[Trail making] Duration to complete alphanumeric path (trail #2),0.01155927717448471,-0.043674878285685156,-0.0035990762048036676,-0.006009843451188326,-0.0070872137948607625,0.017754071928749424,0.015749729466052752,-0.04415876107622564,-0.12173815649766734,-0.04557137975929611,-0.052347071654939174,-0.09125574825032606,-0.06518175966991568,-0.09229636400984892,-0.08109820383356245,-0.10499859901825127,-0.10276344063241276,-0.10244085036535702,-0.10164975374195605
[Fluid intelligence / reasoning] FI8 : chained arithmetic (26),-0.018777116773137387,0.0049025065123368015,0.037690369718440336,0.02259790667008228,0.02028546788075855,-0.007044765743569168,-0.03327981791500409,-0.020266769117849706,-0.028413839768472768,-0.027376344184117173,-0.06548692947041795,-0.048641725531360154,-0.05916656507030347,-0.06889404591786626,-0.08021830913379423,-0.08967632232629949,-0.08676573857035351,-0.10048933621335727,-0.10040755211028714
[Fluid intelligence / reasoning] FI5 : family relationship calculation (4),-0.009479131698511837,0.023042616079686374,-0.021844387637539823,0.011081772787514798,-0.004358924366627267,-0.04537179773273036,-0.06511082875011046,-0.05468376828558611,-0.08078949732482123,-0.07409812791143812,-0.10692517437018013,-0.11744400307837777,-0.12425169212441536,-0.08615322319150452,-0.1110124858462627,-0.10722625825384947,-0.10011927471812147,-0.09746083203285448,-0.09568731983253619
[Pairs matching] Number of incorrect matches in round (std3),-0.028420215658715112,0.011532376102760351,-0.03264375488686169,-0.0214959025982765,-0.030849410788389483,-0.03880334276454651,-0.03994284134401378,-0.048924959355133336,-0.04274368716741561,-0.05331133135434677,-0.07918901132929804,-0.06730096299543728,-0.05468830026937316,-0.06911840627045898,-0.05721349698520777,-0.06872676370714421,-0.07716392898344243,-0.07209745888204108,-0.06824400878599372
[Fluid intelligence / reasoning] Fluid intelligence score,-0.00709860566395668,0.015030168779462947,0.06446805562539094,0.014676960865773551,0.020175723610516068,0.023656572072706914,0.0071868394893457544,0.015524377261495904,0.028913830244122328,0.029978196191039606,0.012234689756309982,0.01915379415396949,0.015282338857009642,0.03371189878954894,0.023207240779912146,0.02122471241520901,0.03470196751775511,0.02410083484664296,0.03570082395912533
[Pairs matching] Number of correct matches in round (std3),0.017546228495605328,-0.001470101383410265,0.049395719786757525,-0.013039900791576832,-0.00902491834143223,0.011466818992674079,0.0012180838524879821,0.004097541819104382,-0.021878164474258402,0.009915203275021432,-0.0005366838056194023,0.05101740952003429,0.051402259139796104,0.049805559608984,0.05272784885055068,0.06234808119123954,0.046385317835453896,0.056536770170956624,0.05004588182074067
[Pairs matching] Number of correct matches in round (mean3),-0.0025881110515397444,0.025447658699261962,0.002029579499723342,0.05737020170714646,0.00896137101301419,-0.012856932338382056,0.025066873801112614,0.03485180403123328,0.012806563453208242,0.05195340829475306,0.030622232530683337,0.049141041564347746,0.06519970992795834,0.06739276330319977,0.0782041736547468,0.07581357713462535,0.08584941531241273,0.08936868704038943,0.08501037706939735
